כתובת,שכונה,קו רוחב,קו אורך,ביקרנו,תאריך_מחיקה
נווה שאנן ירושלים,Yad Eliyahu,32.0549976,34.7845235,לא,2025-07-03 23:58:27
יוחנן בן זכאי ירושלים,Har Shalom,32.084354,34.830505,לא,2025-07-04 00:00:35
